country,Year,K mineral fertilization (ktK),N mineral fertilization (ktN),P mineral fertilization (ktP),N supply (kg/cap/y),N supply (kt/y),Population (Mhab),All Animals Amount excreted in manure (ktN),All Animals Losses from manure treated (ktN),All Animals Manure applied to soils (ktN),All Animals Manure left on pasture (ktN),All Animals Manure management (treated) (ktN),non ruminants Amount excreted in manure (ktN),non ruminants Losses from manure treated (ktN),non ruminants Manure applied to soils (ktN),non ruminants Manure left on pasture (ktN),non ruminants Manure management (treated) (ktN),ruminants Amount excreted in manure (ktN),ruminants Losses from manure treated (ktN),ruminants Manure applied to soils (ktN),ruminants Manure left on pasture (ktN),ruminants Manure management (treated) (ktN),N croplands Input (ktN),N croplands Atmospheric Deposition (ktN),N croplands Biological Fixation (ktN),N croplands Manure applied to Soils (ktN),N croplands Mineral fertilizers (ktN)
World,1992,16971.555601276596,74309.2859,13584.99775225352,4.092672,22148.7667350912,5411.81085,103655.58162401506,7913.25410572851,25059.420747506018,68605.07365979017,32383.44200750304,16982.451088948823,1749.373119082949,8998.058228793238,6331.758626172854,10649.468060819912,86673.13053506622,6163.880986645561,16061.362518712776,62273.31503361731,21733.97394668312,126505.1713732,13294.7490304,18970.7612793,23161.364493,68644.23159350001
World,1993,15833.06013319149,72613.88398,12632.942444225351,4.132968,22676.601065228882,5486.759410000001,103110.8704617324,7779.692258912965,24861.218102470324,68342.47923209658,32078.222570942587,17024.05268407104,1718.413430779917,9084.845305558269,6309.6113491312835,10711.186546241766,86086.81777766133,6061.278828133048,15776.372796912061,62032.867882965314,21367.03602470083,124970.222499,13152.3163503,19592.1522226,22982.6170605,66825.5295724
World,1994,16678.47285,73073.60644,12926.58735943662,4.200712,23382.61585025232,5566.34586,104274.42418038119,7762.060763306138,24957.13220507169,69377.96700443022,32172.93912921849,17383.506950863648,1711.8160710523598,9266.136661014692,6490.2956407321335,10888.778190204857,86890.91722951755,6050.2446922537765,15690.995544057003,62887.671363698115,21284.160939013636,126567.5023206,13200.737131400001,20955.330061999997,23069.0893445,66892.18894960001
World,1995,17103.11643382979,78650.02113,13374.55535253521,4.241592,23941.79486114904,5644.53037,104787.68856353874,7693.309988131598,24874.06114502476,69982.25998159105,32047.296693291737,17611.587950193672,1696.418392669207,9374.18392334345,6621.183839156229,10985.201888833564,87176.10061334506,5996.891595462392,15499.877221681303,63361.076142434824,21062.094804458175,132371.4152062,13601.327908399999,20679.611855500003,22986.9570528,72622.0277656
World,1996,17268.3738306383,83163.21663,13566.39130338028,4.2684560000000005,24421.14168568376,5721.30571,105287.7034679172,7609.512479065263,24763.176616764755,70595.7739456352,31872.67863353669,17811.46838259716,1682.837304058178,9497.08853789371,6707.053774737269,11097.99433979791,87476.23508532005,5926.675175007085,15266.088078871046,63888.72017089791,20774.684293738777,136820.40629359998,13918.9312887,20657.2436632,22912.6342357,76811.9287258
World,1997,18777.23445,81321.90934,14540.34445253521,4.286560000000001,24847.604221752004,5796.630450000001,103823.77439075887,7261.7990517022745,24069.995701145934,70135.77883707745,30854.538576101222,17747.811234790068,1623.800980675484,9391.295416191404,6804.451835734704,10935.71643936123,86075.9631559688,5637.998071026791,14678.700284954537,63331.32700134277,19918.822136739986,136052.2150578,14327.9317732,21744.062645799997,22216.836409000003,75280.297722
World,1998,18347.14710510638,82785.05490999999,14567.353578028169,4.318096,25351.146164768317,5870.90842,103958.27901347124,7220.889189621194,23770.939640731216,70568.10570708066,30537.113294106697,17420.545901493435,1642.945564497179,9230.585629730087,6619.933465212227,10796.038306351236,86537.73311197781,5577.943625124016,14540.35401100113,63948.17224186843,19741.074987755463,138131.4255777,14179.9019388,22946.880642,21934.4980724,76656.4053228
World,1999,18342.33219,84970.84827,14535.406100140843,4.351968,25870.88596733856,5944.64067,104915.62851063859,7170.804959681493,23845.31892740792,71458.32939582644,30574.069783797768,17800.95387172585,1664.639144798301,9430.852638609658,6778.494735722429,11017.364779785958,87114.67463891277,5506.165814883193,14414.466288798263,64679.834660104025,19556.70500401181,139981.36570660002,13699.7297725,23110.0027004,22011.3319371,78744.2788552
World,2000,18043.381133617022,81024.68448000001,14168.391786478873,4.3823360000000005,26374.203984128002,6018.298,105853.94803247206,7139.971910946285,24042.341392948754,72218.97787112198,30748.57663782324,18192.523725681618,1659.733965373096,9658.237093760974,6944.7925288133665,11241.335482592101,87661.42430679043,5480.23794557319,14384.10429918777,65274.18534230861,19507.24115523114,137252.743588,13522.5768103,23356.8569669,22217.7955879,75727.4596028
World,2001,18747.269870425534,82001.77105,14415.694312676056,4.377663999999999,26668.295699263996,6091.901,106044.66923416023,7025.670691606165,23957.732659135396,72574.68822056778,30563.917168000935,18381.565709586255,1625.5894567322912,9724.792467533629,7097.125590534367,11277.593459251719,87663.10352457402,5400.081234873876,14232.940191601763,65477.56263003341,19286.323708749223,138765.48381029998,13492.4552791,24193.9135253,22138.502839099998,76494.6571378
